Waktu,Jumlah_Pengunjung
Januari 2016,265053
Februari 2016,165960
Maret 2016,198241
April 2016,205686
Mei 2016,314958
Juni 2016,135193
Juli  2016,369387
Agustus 2016,173556
September 2016,181633
Oktober 2016,204647
November 2016,196694
Desember 2016,506583
Januari 2017,375078
Februari 2017,219876
Maret 2017,328991
April 2017,346790
Mei 2017,346789
Juni 2017,479800
Juli  2017,477890
Agustus 2017,278909
September 2017,278652
Oktober 2017,298788
November 2017,218798
Desember 2017,538549
Januari 2018,485007
Februari 2018,524701
Maret 2018,573808
April 2018,484505
Mei 2018,342161
Juni 2018,572371
Juli  2018,502781
Agustus 2018,312487
September 2018,354833
Oktober 2018,366354
November 2018,395287
Desember 2018,729873
Januari 2019,473778
Februari 2019,576098
Maret 2019,457107
April 2019,507507
Mei 2019,222618
Juni 2019,735690
Juli  2019,593589
Agustus 2019,380701
September 2019,366848
Oktober 2019,484209
November 2019,432176
Desember 2019,817139
Januari 2020,513315
Februari 2020,325258
Maret 2020,172068
April 2020,762
Mei 2020,1089
Juni 2020,9218
Juli  2020,39657
Agustus 2020,132258
September 2020,93032
Oktober 2020,184103
November 2020,216455
Desember 2020,211622
Januari 2021,113876
Februari 2021,97626
Maret 2021,314418
Apri 2021,318991
Mei 2021,530307
Juni 2021,652629
Juli  2021,7522
Agustus 2021,3561
September 2021,8571
Oktober 2021,212234
November 2021,297836
Desember 2021,472117
Januari 2022,547117
Februari 2022,418198
Maret 2022,494259
April 2022,181436
Mei 2022,979227
Juni 2022,889652
Juli 2022,827833
Agutus 2022,467721
September 2022,522694
Oktober 2022,551051
November 2022,376083
Desember 2022,840917
